date,test,confirmed,deceased
20/01/2020,1,1,0
21/01/2020,1,1,0
22/01/2020,4,1,0
23/01/2020,22,1,0
24/01/2020,27,2,0
25/01/2020,27,2,0
26/01/2020,51,3,0
27/01/2020,61,4,0
28/01/2020,116,4,0
29/01/2020,187,4,0
30/01/2020,246,6,0
31/01/2020,312,11,0
1/02/2020,371,12,0
2/02/2020,429,15,0
3/02/2020,490,15,0
4/02/2020,607,16,0
5/02/2020,714,18,0
6/02/2020,885,23,0
7/02/2020,1352,24,0
8/02/2020,2097,24,0
9/02/2020,2598,27,0
10/02/2020,3110,27,0
11/02/2020,4325,28,0
12/02/2020,5624,28,0
13/02/2020,6511,28,0
14/02/2020,7242,28,0
15/02/2020,7734,28,0
16/02/2020,8161,29,0
17/02/2020,8718,30,0
18/02/2020,9772,31,0
19/02/2020,11173,51,0
20/02/2020,13202,104,1
21/02/2020,16400,204,2
22/02/2020,21586,433,2
23/02/2020,26179,602,6
24/02/2020,32756,833,8
25/02/2020,40304,977,12
26/02/2020,53553,1261,12
27/02/2020,66652,1766,13
28/02/2020,81167,2337,13
29/02/2020,94055,3150,17
1/03/2020,98921,3736,18
2/03/2020,109591,4212,22
3/03/2020,125851,4812,28
4/03/2020,136707,5328,32
5/03/2020,146541,5766,35
6/03/2020,164740,6284,42
7/03/2020,178189,6767,44
8/03/2020,188518,7134,50
9/03/2020,196618,7382,51
10/03/2020,210144,7513,54
11/03/2020,222395,7755,60
12/03/2020,234998,7869,66
13/03/2020,248647,7979,67
14/03/2020,261335,8086,72
15/03/2020,268212,8126,75
16/03/2020,274504,8236,75
17/03/2020,286716,8320,81
18/03/2020,295647,8413,84
19/03/2020,307024,8565,91
20/03/2020,316664,8652,94
21/03/2020,327509,8799,102
22/03/2020,331780,8897,104
23/03/2020,338036,8961,111
24/03/2020,348582,9037,120
25/03/2020,357896,9137,126
26/03/2020,364942,9241,131
27/03/2020,376961,9332,139
28/03/2020,387925,9478,144
29/03/2020,394141,9583,152
30/03/2020,395194,9661,158
31/03/2020,410564,9786,162
1/04/2020,421547,9887,165
2/04/2020,431743,9976,169
3/04/2020,443273,10062,174
4/04/2020,455032,10156,177
5/04/2020,461233,10237,183
6/04/2020,466804,10284,186
7/04/2020,477304,10331,192
8/04/2020,486003,10384,200
9/04/2020,494711,10423,204
10/04/2020,503051,10450,208
11/04/2020,510479,10480,211
12/04/2020,514621,10512,214
13/04/2020,518743,10537,217
14/04/2020,527438,10564,222
15/04/2020,534552,10591,225
16/04/2020,538775,10613,229
17/04/2020,546463,10635,230
18/04/2020,554834,10653,232
19/04/2020,559109,10661,234
20/04/2020,563035,10674,236
